Column1,X,Address,Rent,Beds,Ba,Area,Type,Laundry,Heating,Cooling,Pets,Parking,zip
296,296,Waller St,4100,2,1,NA,Apartment,Shared,Forced air,NA,"Cats, large dogs, small dogs","Carport, Off street",94117
297,297,Waller St,3500,1,1,NA,Apartment,Shared,NA,NA,"Cats, large dogs, small dogs",Off street,94117
23,23,"Venn,The Haight Ashbury floorplan 1844 Market St",NA,1,1,676,Apartment,In Unit,NA,NA,NA,NA,94102
307,307,Van Ness Ave,4700,1,1,830,Multi Family,In Unit,NA,NA,No,NA,94102
28,28,Vallejo St,5350,2,2,1500,Multi Family,Shared,Baseboard,Central,No,Garage - Attached,94123
184,184,Vallejo St,3900,2,1,NA,Multi Family,Shared,Wall,None,No,Garage - Attached,94123
13,13,Union St,5500,Studio,1,1500,Multi Family,Shared,Forced air,None,No,On street,94123
270,270,Tehama St,4000,1,1,NA,Multi Family,NA,Forced air,None,"Cats, small dogs",None,94105
245,245,Sutter St,2295,Studio,1,NA,Multi Family,Shared,Baseboard,None,No,On street,94109
41,41,Sacramento St,5495,2,2,1550,Multi Family,Shared,Radiant,NA,No,Garage - Attached,94115
21,21,Russia Ave,3000,2,1,940,Apartment,Shared,Forced air,NA,No,NA,94112
143,143,Rausch St,2550,1,1,NA,Multi Family,In Unit,Wall,None,No,On street,94103
160,160,Quesada Ave,1900,1,1,650,Apartment,Shared,NA,NA,No,On street,94124
239,239,Pine St,2295,1,1,NA,Multi Family,Shared,Wall,None,No,On street,94109
221,221,Pacific Ave,4250,2,2,NA,Multi Family,Shared,Forced air,None,No,Garage - Attached,94109
180,180,Octavia St,4200,2,2,NA,Apartment,Shared,NA,NA,No,Off street,94123
252,252,Noe St,3499,2,1,NA,Apartment,Shared,Forced air,NA,No,"Garage - Attached, On street",94131
308,308,New Montgomery St,5500,1,1,700,Multi Family,In Unit,NA,NA,NA,NA,94105
269,269,Murray St,3800,3,1,NA,Multi Family,Shared,Forced air,NA,Cats,On street,94110
120,120,Mission St,3095,1,1,765,Multi Family,In Unit,Forced air,None,No,Garage - Attached,94103
142,142,Mission St,3175,1,1,NA,Multi Family,In Unit,Forced air,Central,No,On street,94103
