"","House Type","Laundry","Heating","Cooling","Parking","Rent/Month","Beds","Baths","Square Feet","Address","Zipcode"
"1","Single Family","In Unit","Forced air","None",NA,5400,3,2,NA,"21st Ave",94132
"2","Single Family","In Unit",NA,NA,NA,4800,3,1,1320,"Rockdale Dr",94127
"3","Single Family","Shared","Forced air",NA,"On street",2500,2,1,1075,"Orizaba Ave",94132
"4","Townhouse",NA,"Forced air",NA,NA,4250,2,1,NA,"525 20th Avenue # Upper Floor",94121
"5","Single Family",NA,"Forced air","Central","On street",2000,1,1,650,"268 Madison St",94134
"6","Single Family",NA,NA,NA,NA,4900,2,2,1200,"848 N Point St",94109
"7","Single Family",NA,"Radiant","Central",NA,14000,5,3,2830,"Central Ave",94117
"8","Single Family","In Unit","Forced air","None","1 space",8900,3,2,2000,"1133 Kansas St",94107
"9","Single Family","Shared",NA,NA,NA,5500,4,2,1450,"2351 33rd Ave",94116
"10","Single Family",NA,NA,NA,NA,15000,3,2,2488,"Washington St",94115
"11","Single Family","In Unit",NA,NA,NA,25000,4,35,3884,"Pierce St",94123
"12","Single Family","In Unit","Forced air",NA,"On street",4700,3,15,1751,"459 Colon Ave",94127
"13","Single Family","In Unit",NA,NA,NA,5000,3,25,1675,"243 Noriega St",94122
"14","Single Family","In Unit","Forced air",NA,"On street",5880,5,3,1650,"135 Evelyn Way",94127
"15","Single Family",NA,NA,NA,NA,6500,3,2,NA,"21 Summit Way",94132
"16","Single Family","In Unit","Forced air",NA,NA,5500,3,2,1300,"1535 44th Ave",94122
"17","Single Family",NA,NA,NA,NA,13500,3,4,2420,"831 Marina Blvd",94123
"18","Single Family",NA,"Forced air",NA,"1 space",4950,2,1,1450,"869 Faxon Ave",94112
"19","Townhouse","In Unit","Forced air","Central, Other","Garage - Attached",4500,3,25,1318,"253 Friedell St",94124
"20","Townhouse",NA,NA,NA,NA,5500,4,5,1200,"727 Green St",94133
"21","Townhouse","In Unit","Forced air",NA,"Carport, Garage - Detached, On street",9500,2,25,2400,"1731 Vallejo St",94123
"22","Single Family","In Unit","Forced air","None","Garage - Attached",10000,4,3,NA,"Eureka St",94114
"23","Single Family",NA,"Other",NA,"1 space",4300,2,1,1485,"220 Fairmount St",94131
"24","Single Family","In Unit",NA,NA,NA,10000,3,2,2212,"3655 21st St",94114
"25","Single Family",NA,NA,NA,"On street",2100,2,1,500,"2233 Santiago St",94116
"26","Single Family","In Unit","Forced air",NA,"Garage - Attached",3900,3,2,1200,"Maddux Ave",94124
"27","Single Family","In Unit","Forced air",NA,"Off street, On street",5400,5,3,NA,"2786 38th Ave",94116
"28","Single Family","In Unit","Forced air","None",NA,5400,3,2,NA,"21st Ave",94132
"29","Single Family","In Unit",NA,NA,NA,4800,3,1,1320,"Rockdale Dr",94127
"30","Single Family","Shared","Forced air",NA,"On street",2500,2,1,1075,"Orizaba Ave",94132
"31","Townhouse",NA,"Forced air",NA,NA,4250,2,1,NA,"525 20th Avenue # Upper Floor",94121
"32","Single Family",NA,"Forced air","Central","On street",2000,1,1,650,"268 Madison St",94134
"33","Single Family",NA,NA,NA,NA,4900,2,2,1200,"848 N Point St",94109
"34","Single Family",NA,"Radiant","Central",NA,14000,5,3,2830,"Central Ave",94117
"35","Single Family","In Unit","Forced air","None","1 space",8900,3,2,2000,"1133 Kansas St",94107
"36","Single Family","Shared",NA,NA,NA,5500,4,2,1450,"2351 33rd Ave",94116
"37","Single Family",NA,NA,NA,NA,15000,3,2,2488,"Washington St",94115
"38","Single Family","In Unit",NA,NA,NA,25000,4,35,3884,"Pierce St",94123
"39","Single Family","In Unit","Forced air",NA,"On street",4700,3,15,1751,"459 Colon Ave",94127
"40","Single Family","In Unit",NA,NA,NA,5000,3,25,1675,"243 Noriega St",94122
"41","Single Family","In Unit","Forced air",NA,"On street",5880,5,3,1650,"135 Evelyn Way",94127
"42","Single Family",NA,NA,NA,NA,6500,3,2,NA,"21 Summit Way",94132
"43","Single Family","In Unit","Forced air",NA,NA,5500,3,2,1300,"1535 44th Ave",94122
"44","Single Family",NA,NA,NA,NA,13500,3,4,2420,"831 Marina Blvd",94123
"45","Single Family",NA,"Forced air",NA,"1 space",4950,2,1,1450,"869 Faxon Ave",94112
"46","Townhouse","In Unit","Forced air","Central, Other","Garage - Attached",4500,3,25,1318,"253 Friedell St",94124
"47","Townhouse",NA,NA,NA,NA,5500,4,5,1200,"727 Green St",94133
"48","Townhouse","In Unit","Forced air",NA,"Carport, Garage - Detached, On street",9500,2,25,2400,"1731 Vallejo St",94123
"49","Single Family","In Unit","Forced air","None","Garage - Attached",10000,4,3,NA,"Eureka St",94114
"50","Single Family",NA,"Other",NA,"1 space",4300,2,1,1485,"220 Fairmount St",94131
"51","Single Family","In Unit",NA,NA,NA,10000,3,2,2212,"3655 21st St",94114
