"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"1",2,2,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"2",3,3,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"3",4,4,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"4",5,5,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"5",8,8,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"6",11,11,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"7",12,12,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"8",15,15,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"9",17,17,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,0
"10",21,21,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"11",22,22,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
"12",23,23,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",0
"13",24,24,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"14",27,27,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"15",29,29,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"16",33,33,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"17",34,34,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"18",36,36,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"19",38,38,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"20",39,39,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"21",40,40,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"22",43,43,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"23",45,45,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",0
"24",48,48,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"25",52,52,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",0
"26",54,54,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"27",57,57,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"28",58,58,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"29",64,64,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"30",66,66,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"31",67,67,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"32",69,69,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,0
"33",70,70,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,0
"34",71,71,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,0
"35",73,73,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",0
"36",74,74,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,0
"37",75,75,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",0
"38",79,79,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",0
"39",81,81,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"40",82,82,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,0
"41",84,84,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"42",85,85,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"43",86,86,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",0
"44",87,87,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"45",93,93,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
