"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"1",1,1,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"2",6,6,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"3",7,7,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"4",9,9,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"5",10,10,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"6",13,13,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"7",14,14,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"8",16,16,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"9",18,18,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"10",19,19,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"11",20,20,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"12",25,25,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"13",26,26,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"14",28,28,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"15",30,30,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",1
"16",31,31,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"17",32,32,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"18",35,35,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"19",37,37,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"20",41,41,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"21",42,42,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"22",44,44,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"23",46,46,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"24",47,47,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"25",49,49,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"26",50,50,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"27",51,51,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"28",53,53,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"29",55,55,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"30",56,56,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"31",59,59,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"32",60,60,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"33",61,61,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"34",62,62,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"35",63,63,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"36",65,65,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
