Column1,Address,Zip,Monthly_Rent_USD,Bedrooms,Bathrooms,Area_SqFt,Building,Laundry,Heating,Cooling,Pets,Parking
1,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
2,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
3,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
4,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
5,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
6,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
7,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
8,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
9,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
10,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
11,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
12,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
13,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
14,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
15,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
16,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
17,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
18,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
19,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
20,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
21,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
22,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
